id,Flaeche,Gattung,Art,Sorte,NameDeutsch,Hoehe,Schirmdurchmesser,Stammumfang,Typ,XPos,YPos,lon,lat,BaumNr,DatumExport
baum_49671e0c173c1e800179,1127,Betula,pendula,,Weiß-Birke,16,8,200,L,68728,353883,14.25924976761750,48.31945538154956,005,20260701
baum_7d3897425d09cdc43bbd,1100,Prunus,avium,,Vogel-Kirsche,17,8,105,L,70052,351422,14.27669267338376,48.29718299366039,342,20260701
baum_4948365accffba728e05,141,Picea,abies,,Gemeine Fichte,14,4,90,N,72085,349872,14.30382338362632,48.28301929947236,022,20260701
baum_4ddeaa46c022b95ebad7,174,Tilia,cordata,,Winter-Linde,7,4,39,L,71416,349005,14.29465973406804,48.27529702593457,017,20260701
baum_5d28ec0c7909789bbe6e,7290,Juglans,regia,,Walnuss,4,4,55,L,72065,354586,14.30435018403341,48.32541074464426,070,20260701
baum_ecd22c1a7e0dea5f3af9,680,Liriodendron,tulipifera,,Tulpenbaum,25,10,110,L,71917,355293,14.30248072184989,48.33178185431577,028,20260701
baum_8757909cbd6054a3ab6e,292,Quercus,robur,,Stiel-Eiche,15,11,240,L,72210,346308,14.30489629478181,48.25095758852661,018,20260701
baum_fda69fce656e99d8f44b,5224,Fagus,sylvatica,,Rotbuche,14,9,120,L,72472,348150,14.30873854378033,48.26748945533587,128,20260701
baum_dc57dcb81e94ca69678c,141,Fagus,sylvatica,,Rotbuche,10,5,70,L,72185,349866,14.30516415395489,48.28295560667595,069,20260701
baum_a78d598ed8b75f95d987,44,Sorbus,sp.,,Mehl-/Vogelbeere,18,14,260,L,70105,350491,14.27725343093361,48.28880338455262,019,20260701
baum_981c3bfa78c79607935f,117,Pinus,sp.,,Kiefer / Föhre,15,6,78,N,73114,352007,14.31806000016721,48.30209564077170,055,20260701
baum_e8825fa21cbdc7b0e6a5,209,Sorbus,aria,,Echte Mehlbeere,10,6,120,L,71635,349011,14.29762127753593,48.27532559965382,007,20260701
baum_428663eb1095ac9086d2,565,Catalpa,bignonioides,,Trompetenbaum,7,4,41,L,70543,353582,14.28366647640432,48.31655198201763,024a,20260701
baum_53f683893422d9ad1563,511,Betula,pendula,,Weiß-Birke,16,6,95,L,69853,351894,14.27408213739692,48.30145333958001,004,20260701
baum_b503ffd21c00585eb01f,203,Picea,pungens,Glauca,Blaue Stech-Fichte,20,15,260,N,71052,348683,14.28970436648951,48.27244624443669,059,20260701
baum_a2652dbec7752e80846b,666,Platanus,hispanica,,Ahornblättrige-Platane,16,10,96,L,70795,354997,14.28730074918449,48.32924287833738,081,20260701
baum_3026a29572cce7707982,1096,Acer,sp.,,Ahorn,11,6,91,L,75414,346612,14.34809485146246,48.25331721337601,249,20260701
baum_21e9562cf2750b71dadd,1407,Ginkgo,biloba,,Ginkgo,5,2,65,L,71533,348326,14.29613062250317,48.26917739844831,154,20260701
