id,FIRMA,Adresse,PLZ,Stadt,Marke/Hersteller,Standort,quell_lat,quell_lon,lat,lon,koordinatenstatus
defi_a84933cd1a5d5bae9a93,Adalbert Stifter Institut,Adalbert-Stifter-Platz 1,4020,Linz,Lifepak CR+,2. Stock Sekretariat,48.30753300000000,14.28831700000000,48.30753300000000,14.28831700000000,plausibel
defi_a779079088b30fb74708,"Amt der Oberösterreichischen Landesregierung, Abteilung Gebäudemanagement",Altstadt 30,4020,Linz,Heartstart FRx,"Amtsgebäude Altstadt 30, 2. OG Stiegenhaus",48.30442600000000,14.28479100000000,48.30442600000000,14.28479100000000,plausibel
defi_2a42a40632768ea2e8f1,Dynatrace Austria GmbH,Am Fünfundzwanziger Turm 20,4020,Linz,Lifepak CR2 WLAN,Erdgeschoß - Empfangsbereich,48.31518400000000,14.30534500000000,48.31518400000000,14.30534500000000,plausibel
defi_b120deafa56319554ef5,Linz AG,Am Pöstlingberg 16,4020,Linz,Lifepak CR+,"Grottenbahn - Shop, bei EH-Kasten",48.32350000000000,14.25731600000000,48.32350000000000,14.25731600000000,plausibel
defi_e9cee4d4cecaa37f4ad2,OÖ Theater und Orchester GmbH - Musiktheater Linz,Am Volksgarten 1,4020,Linz,Lifepak CR+,Kassa,48.29464500000000,14.29301500000000,48.29464500000000,14.29301500000000,plausibel
defi_d79e23e79225d7ea4161,OÖ Theater und Orchester GmbH - Musiktheater Linz,Am Volksgarten 1,4020,Linz,Lifepak CR+,Arztzimmer 1. UG (99c11B),48.29464500000000,14.29301500000000,48.29464500000000,14.29301500000000,plausibel
defi_926e7a807bf8bcb73000,OÖ Theater und Orchester GmbH - Musiktheater Linz,Am Volksgarten 1,4020,Linz,Lifepak CR+,Portier,48.29513700000000,14.29445900000000,48.29513700000000,14.29445900000000,plausibel
defi_e926aaa3e7dcbebcb1b9,"Quality Austria - Trainings-, Zertifizierungs- und Begutachtungs GmbH",Am Winterhafen 1,4020,Linz,Heartstart FRx,4. OG,48.31836700000000,14.30431700000000,48.31836700000000,14.30431700000000,plausibel
defi_6bc6dbd3c012f4ca6030,Trans World Hotels Austria GmbH,Am Winterhafen 13,4020,Linz,Zoll AED Plus,Rezeption Backoffice,48.31880000000000,14.30300000000000,48.31880000000000,14.30300000000000,plausibel
defi_774259e08f7249b69438,Sozialverein B37,Anastasius-Grün-Straße 2,4020,Linz,Heartstart FRx,NOWA,48.29269000000000,14.29573000000000,48.29269000000000,14.29573000000000,plausibel
defi_5bcfcab73d23b0ad7bc9,Education Group GmbH,Anastasius-Grün-Straße 22-24,4020,Linz,Lifepak Express,EG Brandmeldezentrale,48.29369000000000,14.29796700000000,48.29369000000000,14.29796700000000,plausibel
defi_78d1e947aa6bc49543ea,HLW Auhof,Aubrunnerweg 4,4040,Linz,Lifepak CR+,Europagymnasium vor Konferenzzimmer,48.33338300000000,14.32091700000000,48.33338300000000,14.32091700000000,plausibel
defi_0e04304824193f9cc035,Landwirtschaftskammer Oberösterreich,Auf der Gugl 3,4021,Linz,Lifepak CR+,Rezeption Gästehaus,48.29275000000000,14.28238300000000,48.29275000000000,14.28238300000000,plausibel
defi_3bb1e6260b66b7223818,Landessportzentrum OÖ,Auf der Gugl 30,4020,Linz,Lifepak CR+,Bademeisterkabine,48.29305000000000,14.27951700000000,48.29305000000000,14.27951700000000,plausibel
defi_54d4e10a17c49cee0155,Landessportzentrum OÖ,Auf der Gugl 30,4020,Linz,Lifepak Express,Eingang rechts,48.29351000000000,14.27910000000000,48.29351000000000,14.27910000000000,plausibel
defi_c34d4eb0b8819680591b,Maximarkt HandelsgesmbH,Bäckermühlweg 61,4020,Linz,Lifepak CR2 WLAN,Info-Point (Kasse 1),48.24328300000000,14.27678300000000,48.24328300000000,14.27678300000000,plausibel
defi_8dd460c6a65fc5199d35,"Amt der Oberösterreichischen Landesregierung, Abteilung Gebäudemanagement - Landhaus Linz",Landhausplatz 1,4020,Linz,Lifepak CR+,"Landhaus, Steinerner Saal, Garderobe",48.30463300000000,14.28618300000000,48.30463300000000,14.28618300000000,plausibel
defi_1638d3dbaa72c526abbd,"Amt der Oberösterreichischen Landesregierung, Abteilung Gebäudemanagement",Kärntnerstraße 12,4021,Linz,Heartstart FRx,"Amtsgebäude Hauserhof, 1 OG, Stiegenhaus neben Raum 1D205",48.29195000000000,14.29066700000000,48.29195000000000,14.29066700000000,plausibel
defi_6fefad4871bfb1223fd2,Amt der Oberösterreichischen Landesregierung,Bahnhofplatz 1,4020,Linz,Fred Easy,"Landesdienstleistungszentrum LDZ, Portier 2.OG Raum 2a",48.29218300000000,14.29155000000000,48.29218300000000,14.29155000000000,plausibel
defi_99986d5b13505635f796,Amt der oberösterreichischen Landesregierung,Bahnhofplatz 1,4020,Linz,Lifepak CR+,"LDZ, 4. OG, Stiegenhaus B/C",48.29197900000000,14.29159500000000,48.29197900000000,14.29159500000000,plausibel
