id,standort,beschreibung,art
hecke_fa3d813f3c5aaf31b5b8,Baumgärtlstraße,"Park, ca. 5lfm, bogenförmig, entlang des Weges gemischte Beeren","gemischt, Ribisel"
hecke_2a3bea247daf105e5b93,Johann-Wilhelm-Klein-Anlage,entlang des Weges gemischte Beeren,gemischt
hecke_6cdf3e405892224b5a6c,Pulvermühlpark,"Pulvermühlpark, ca. 5 lfm. entlang des Weges gemischte Beeren",gemischt
hecke_2e2daff032cd2a0f8c37,Biesenfeldanlage,"Biesenfeldanlage, zwischen Bäuemen gemischte Beeren (Ribisel)",gemischt
hecke_552b312e3607f5080dc1,Grünmarkt,"ca. 5 lfm. Anschließend an einen Streifen gemischte Beeren: 8 Ribisel, 12 m² Himbeeren","Ribisel, Himbeere"
hecke_a25463da0376e79c3c5e,Ottensheimer Straße,"3 rote Ribisel, 2 weiße Ribisel, 1 Dirndl, 4 Japanische Weinbeeren, 1 Josta, 1 Stachelbeer, 3 Brombeeren, 2 dornenlose Brombeeren, 1 Amelanchier, 18 m² Himbeeren","Ribisel, Dirndl, Japanische Weinbeeren, Josta, Stachelbeer, Brombeere, Amelanchier, Himbeeren"
hecke_444d4a4d7bf342af0800,BH-Uhrfahr,Himbeeren rundlich vor Beet,Himbeere
hecke_044fd859f17347865f2e,Harbachpark,5lfm Ribisel,Ribisel
hecke_019ccedbcdde00a30cc2,Unipark,"hinter Juridikum, vor Wolfauerstraße: 5 rote Ribisel, 1 weiße, 1 schwarze, 1 Josta, 6 Himbeere","Ribisel, Himbeere, Josta"
hecke_e19f1e2335c6dfd7ef6e,Arboretum/Freinberg,Nähe Holzheimerstraße,"Ribisel, Stachelbeere, Brombeere"
hecke_9816e0701e138254685d,Pöstlingberg,"bei Samhaberstraße, unterhalb vom Pöstlingbergschlössl: 5lfm Ribisel, 3 rote, 1 weiße, 1 schwarze",Ribisel
hecke_8f3d531fea7f2e964db7,Landwirtstraße/Klimtweg,"WAG-Park (unterhalb von Klimtweg): 1 Gruppe Himbeeren 5 Stk.; 5 lfm Hecke: 1 rote Ribisel, 1 Weiße Ribisel, 1 Stachelbeerbäumchen, 1 Josta, 1 Schwarze Ribisel","Himbeere; Ribisel, Stachelbeere, Josta"
hecke_a00a4e119c935db6de7e,Europaschule,5lfm Hecke,Ribisel
hecke_7da686647eba1aee4a07,Posthof,"Posthofstraße, Nähe Haus 50 2 rote, 1 weiße 1 schwarze Ribisel, 1 Jostabeere 8 Stk. Himbeere, sommer und herbsttragend gemischt 2 Stk. Brombeere, 3 Stk. japanische Weinbeere","Ribisel, Josta, Himbeere, Brombeere, japanische Weinbeere"
hecke_bae64f088b910a889889,Löwenfeldpark,"zwischen Dauphinestraße 62 und 66 2 rote, 1 weiße, 1 schwarze Ribisel, 1 Josta, 1 Stachelbeere","Ribisel, Josta, Stachelbeere"
hecke_dd42f09f2fcbc06401ae,Freinberg Obstbaumgarten Margarethenweg,"oberhalb Margarethenweg beim Spielplatz: 5 rote Ribisel, 3 weiße, 2 schwarze, 2 Josta, 8 Himbeerern, 5 Brombeeren, 5 Stachelbeerbäumchen (gelb und braunfrüchtig) 5 Japanische Weinbeeren","Ribisel, Josta,Himbeere, Brombeere, Stachelbeere, Japanische Weinbeeren"
hecke_ac8934563c8b31519a14,Kudlichstraße 13,"Unterhalb von Restaurant Essig: 10 Himbeeren, 5 rote, 3 weiße, 3 schwarze Ribisel, 2 Josta","Himbeere, Ribisel, Josta"
hecke_c35abb2623d6932b4b00,Winklerwald,"am Waldrand vor dem Spielplatz: 10 Brombeeren, 10 Himbeeren (sommer- und herbsttragend)","Brombeere, Himbeere"
hecke_8d01ec905b883547b919,Volksgarten,"beim Schachfeld: 1 rote Ribisel, 1 Josta, 1 weiße Ribisel, 1 schwarze Ribisel","Ribisel, Josta"
hecke_0f35a10849d8518ccaae,Bindermichlpark,"Himbeeren bei Hanuschstraße 86 – 88 und im Südteil in freien Stellen der Hecken, außenseitlich gepflanzt.",Himbeere
