id,jahr,quartal,herkunft,herkunft_typ,iso2,ankuenfte,uebernachtungen
herkunft_80e0baa7c48d2a1535ab,2024,1,Österreich,land,AT,60369,106042
herkunft_75d61b8a26af7142ff5f,2024,2,Österreich,land,AT,85972,145231
herkunft_7aa062c2b74008afbe0d,2024,3,Österreich,land,AT,65854,120977
herkunft_3595f55d6d3d12921430,2024,4,Österreich,land,AT,76506,131387
herkunft_13ea7a774a51af771d47,2024,1,darunter Wien,gruppe,,14741,24447
herkunft_59ecf55f4772bb7aa558,2024,2,darunter Wien,gruppe,,22471,37292
herkunft_bff2e0ca609683f0217d,2024,3,darunter Wien,gruppe,,20802,36461
herkunft_dadd505633ebe97929b4,2024,4,darunter Wien,gruppe,,20948,36284
herkunft_b11ead26f8d04a46ffd2,2024,1,Ausland,summe,,47465,98203
herkunft_a7cb6f19048c2a5aff05,2024,2,Ausland,summe,,71812,132998
herkunft_dbc9f9da8bd0024b64f3,2024,3,Ausland,summe,,97296,171715
herkunft_0f694c2141d97a17cc71,2024,4,Ausland,summe,,61583,115008
herkunft_c73f1fb0bd55166b1864,2024,1,Arab. Länder in Asien 1),gruppe,,52,102
herkunft_9465023ff401255d0d13,2024,2,Arab. Länder in Asien 1),gruppe,,100,175
herkunft_2623ecae3b7ae5046ba1,2024,3,Arab. Länder in Asien 1),gruppe,,272,472
herkunft_7444fe01f0e5ed57ec37,2024,4,Arab. Länder in Asien 1),gruppe,,231,272
herkunft_7b43a07ec1ad8c45c68b,2024,1,Australien,land,AU,221,591
herkunft_a2ac5b6497e8f4d5d87f,2024,2,Australien,land,AU,411,774
herkunft_a56ac931aed2f85f83ed,2024,3,Australien,land,AU,545,1023
herkunft_b5e7ca288f9cd97e0dc5,2024,4,Australien,land,AU,492,896
herkunft_f56caeea94d1b2dc4a57,2024,1,Belgien,land,BE,526,1055
herkunft_8d61d8509e6ab4fb4a64,2024,2,Belgien,land,BE,785,1342
herkunft_f4fd691598aaf77972d3,2024,3,Belgien,land,BE,1888,2764
herkunft_dde338759375b7e09596,2024,4,Belgien,land,BE,713,1254
herkunft_4faac1478037174b2d9d,2024,1,Brasilien,land,BR,125,310
herkunft_3c2b87d6a16ecf4378e4,2024,2,Brasilien,land,BR,172,342
herkunft_e9b971812e0904a56389,2024,3,Brasilien,land,BR,167,578
herkunft_44867f4f913bfe5c9139,2024,4,Brasilien,land,BR,133,322
herkunft_565937c236716155a4fd,2024,1,Bulgarien,land,BG,167,339
herkunft_89936b05f2550c6d1db9,2024,2,Bulgarien,land,BG,360,1747
herkunft_19d9349744975a199671,2024,3,Bulgarien,land,BG,466,1012
herkunft_990efd2f7c80a90e4d60,2024,4,Bulgarien,land,BG,231,455
herkunft_0817d50ac3b40c78863e,2024,1,China 2),gruppe,,993,1792
herkunft_60bee90ead057dc3979e,2024,2,China 2),gruppe,,1801,2858
herkunft_fb8e84ca7d6d229ce5fe,2024,3,China 2),gruppe,,3045,4756
herkunft_f6338635229cb3636a37,2024,4,China 2),gruppe,,2552,3529
herkunft_d784bbb492260c02e003,2024,1,Dänemark,land,DK,161,447
herkunft_0fc58d29c5180522083c,2024,2,Dänemark,land,DK,234,485
herkunft_92b712a4b374acd4fdc9,2024,3,Dänemark,land,DK,739,1235
herkunft_c2d1220fafc79b501bf0,2024,4,Dänemark,land,DK,154,297
herkunft_28818e43aed6f7833bd0,2024,1,Deutschland,land,DE,19287,36781
herkunft_5258b9b92a742ccc1448,2024,2,Deutschland,land,DE,30673,52697
herkunft_ce88b2a34f845dbf8d37,2024,3,Deutschland,land,DE,37503,63737
herkunft_c67acf3d949c530f0242,2024,4,Deutschland,land,DE,24805,45762
herkunft_c43facac426ec1703236,2024,1,Estland,land,EE,52,80
herkunft_e597ef17e31f06af4e43,2024,2,Estland,land,EE,70,106
herkunft_99917ad550de79af3eb8,2024,3,Estland,land,EE,162,230
herkunft_b044c144c837dfaf6b63,2024,4,Estland,land,EE,47,204
herkunft_aa84e8da1567c026651f,2024,1,Finnland,land,FI,181,329
herkunft_f6b748fa449e08bac807,2024,2,Finnland,land,FI,274,479
herkunft_ed34e670523caa5a795c,2024,3,Finnland,land,FI,296,474
herkunft_3e6ea2c3d7587bb058d7,2024,4,Finnland,land,FI,240,561
herkunft_6f1a417ce2fd6c37a2e9,2024,1,Frankreich (inkl. Monaco),gruppe,,1037,1764
herkunft_fb0b3f2528c5dc5a947c,2024,2,Frankreich (inkl. Monaco),gruppe,,1642,2759
herkunft_40f7c46afce957c782d6,2024,3,Frankreich (inkl. Monaco),gruppe,,3387,5312
