id,standort_id,name,jahr,monat,anzahl_clients
nutzung_3f69a2816798b35ac5a0,hotspot_6b7f88ea3d0ec23d6215,AEC Dach,2022,1,74
nutzung_718b1c6216a1ecb52fff,hotspot_6b7f88ea3d0ec23d6215,AEC Dach,2022,2,135
nutzung_853cc1b15c53ffe8a11e,hotspot_6b7f88ea3d0ec23d6215,AEC Dach,2022,3,305
nutzung_3486e430ab50f1110a1c,hotspot_6b7f88ea3d0ec23d6215,AEC Dach,2022,4,260
nutzung_b41cab37ed1df3022cab,hotspot_6b7f88ea3d0ec23d6215,AEC Dach,2022,5,719
nutzung_0bd5d31d7516b7bffc69,hotspot_6b7f88ea3d0ec23d6215,AEC Dach,2022,6,583
nutzung_8dfa08c8699f22322c5e,hotspot_6b7f88ea3d0ec23d6215,AEC Dach,2022,7,356
nutzung_8cc494328f72d9b4916b,hotspot_ea93c6afb71ce9bdd0de,AKH,2022,1,37
nutzung_5b18c6e7529a8427a839,hotspot_ea93c6afb71ce9bdd0de,AKH,2022,2,46
nutzung_1e132dc8f407706fc08c,hotspot_ea93c6afb71ce9bdd0de,AKH,2022,3,81
nutzung_5ae66fd04db14c0eddab,hotspot_ea93c6afb71ce9bdd0de,AKH,2022,4,55
nutzung_a51f1dd53742f41cd79f,hotspot_ea93c6afb71ce9bdd0de,AKH,2022,5,75
nutzung_a2db14613b32bc3a1d0f,hotspot_ea93c6afb71ce9bdd0de,AKH,2022,6,58
nutzung_8614d45637fb659a347a,hotspot_ea93c6afb71ce9bdd0de,AKH,2022,7,66
nutzung_b609a9409ae587c356d1,hotspot_ad101e6ab0dcbe00e116,AKH Bibliothek,2022,1,79
nutzung_38654e05b804a7372c57,hotspot_ad101e6ab0dcbe00e116,AKH Bibliothek,2022,2,68
nutzung_1b7a8ad7642137ce0bdd,hotspot_ad101e6ab0dcbe00e116,AKH Bibliothek,2022,3,71
nutzung_e1ffc32f2ec5a2e47f8f,hotspot_ad101e6ab0dcbe00e116,AKH Bibliothek,2022,4,75
nutzung_ca3b09e4e2b30a1a8877,hotspot_ad101e6ab0dcbe00e116,AKH Bibliothek,2022,5,84
nutzung_2dc8ea80a9976c6af6f9,hotspot_ad101e6ab0dcbe00e116,AKH Bibliothek,2022,6,79
nutzung_6f54cb89274c15a1de15,hotspot_ad101e6ab0dcbe00e116,AKH Bibliothek,2022,7,54
nutzung_54757cbb9d22b52891ec,hotspot_6b5c9a0fe2019392b64e,AKH Park,2022,1,123
