id,quell_id,name,katastralgemeinde,beschreibung,detail_url,strasse_wikidata_id,strasse_wikidata_url,benannt_nach,person_wikidata_id,weitere_person_wikidata_ids,person_wikidata_url,person_name,person_geschlecht,person_beruf,person_geburtsdatum,person_sterbedatum
strasse_918,918,Achleitnerstraße,Ebelsberg,Vom Hauderweg parallel zur Kremsmünsterer Straße verlaufende Sackgasse. Benannt 1974 nach dem Ebelsberger Gemeindearzt und Mitglied des Gemeindeausschusses Dr. Viktor Achleitner (1872-1961).,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=918,,,Viktor Achleitner,,,,,,,,
strasse_919,919,Ackerlweg,Pöstlingberg,Gegenüber dem Objekt Gründbergstraße 65 etwa in nördlicher Richtung zur Höllmühlstraße verlaufend. Benannt 1955 nach dem ehemaligen Ackerlhäusl.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=919,,,,,,,,,,,
strasse_920,920,Adalbert-Stifter-Platz,Linz,Umfaßt den ehemaligen sogenannten Zollamtplatz unter Einschluß des bisher unbenannten Teilstückes zwischen Zollamtstraße und Unterer Donaulände. Benannt 1990 nach dem österreichischen Dichter Adalbert Stifter (1805-1868).,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=920,Q107102786,https://www.wikidata.org/wiki/Q107102786,Adalbert Stifter,Q168542,,https://www.wikidata.org/wiki/Q168542,Adalbert Stifter,male,writer,1805-10-23,1868-01-28
strasse_921,921,Adelheid-Popp-Weg,Kleinmünchen,"Von der Hallestraße etwa in südwestlicher Richtung zur Kreiskystraße verlaufend. Benannt 1992 nach der sozialdemokratischen Politikerin, Redakteurin und Schriftstellerin Adelheid Popp (1869 - 1939).",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=921,,,Adelheid Popp,Q34391,,https://www.wikidata.org/wiki/Q34391,Adelheid Popp,female,journalist,1869-02-11,1939-03-07
strasse_922,922,Adlergasse,Linz,"Vom Hauptplatz heute unterbrochen durch den Bau des Finanzgebäudes Ost gegen Osten verlaufende Sackgasse. Benannt nach dem ehemaligen in dieser Gasse liegenden Gasthof Zum goldenen Adler. - Bis 1869 Untere Badgasse nach der bereits 1332 erwähnten Padstuben an der Froschau. Das Ende der Sackgasse ab der Neutorgasse hatte verschiedene Namen Neue Welt 1710, 1771, Froschengaßl 1730, In der Arschgarben, Arschkerben 1800 und Zum Großen Christoph.",https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=922,,,,,,,,,,,
strasse_924,924,Adolf-Dietel-Weg,Kleinmünchen,Nach dem Objekt Angererhofweg 6 etwa in westsüdwestlicher Richtung zum Hauschildweg verlaufend. Benannt 1978 nach dem Ausschussmitglied des Linzer Arbeiterbildungsvereines Adolf Dietel 1840-1909.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=924,,,Adolf Dietel,,,,,,,,
strasse_926,926,Adolf-Schärf-Straße,Katzbach,Parallel zur Karl-Renner-Straße etwa in nordöstlicher Richtung zur Michael-Hainisch-Straße verlaufend. Benannt 1972 nach dem sozialistischen Politiker und Bundespräsidenten Adolf Schärf 1890-1965.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=926,,,Adolf Schärf,Q72898,,https://www.wikidata.org/wiki/Q72898,Adolf Schärf,male,politician,1890-04-20,1965-02-28
strasse_936,936,Afritschweg,Ebelsberg,Nach dem Objekt Hartheimerstraße 26 etwa in südlicher Richtung verlaufende Sackgasse. Benannt 1986 nach dem Gründer der Kinderfreunde Anton Afritsch 1873-1924.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=936,,,Anton Afritsch,,,,,,,,
strasse_3476,3476,Agathe-Schwabenau-Weg,Ufer,Von der Fischerfeldstraße in Richtung Südsüdwest abzweigende Sackgasse. Benannt 2022 nach der Malerin Agathe Schwabenau (1857–1950).,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=3476,,,Agathe Schwabenau,Q109285700,,https://www.wikidata.org/wiki/Q109285700,Agathe von Schwabenau,female,painter,1857-09-23,1950-01-01
strasse_937,937,Ahornweg,Katzbach,Von der Freistädter Straße nach dem Objekt Nr. 405 in nördlicher Richtung und dann im Bogen zum Statznergutweg verlaufend. Benannt 1958 nach der einheimischen Baumart.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=937,,,,,,,,,,,
strasse_938,938,Aicherweg,Ebelsberg,Nach dem Objekt Kremsmünsterer Straße 71 etwa in südöstlicher Richtung zum Beuttlerweg verlaufend. Benannt 1954 nach dem ältesten bekannten Marktrichter von Ebelsberg 1478 Wolfgang Aicher.,https://www.linz.at/strassennamen/Default.asp?action=strassendetail&ID=938,,,Wolfgang Aicher,,,,,,,,
