id,quell_id,name,katastralgemeinde,beschreibung,detail_url,benannt_nach,person_wikidata_id,weitere_person_wikidata_ids,person_wikidata_url,person_name,person_geschlecht,person_beruf,person_geburtsdatum,person_sterbedatum,heutiger_strassenname,benennung_code,jahr_benennung,jahr_loeschung
strasse_historisch_923,923,Adlerstraße,Kleinmünchen,"Von 1931 bis 1934 Dr.-Viktor-Adler-Straße nach dem Mitbegründer der Sozialdemokratischen Partei Österreichs Viktor Adler (1852-1918), heute Stieglbauernstraße. Siehe auch aktueller Straßenname Victor-Adler-Weg",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=923&hist=historisch,Viktor Adler,Q366845,,https://www.wikidata.org/wiki/Q366845,Victor Adler,male,politician,1852-06-24,1918-11-11,Stieglbauernstraße,M,1931,1934
strasse_historisch_925,925,Adolf-Hitler-Platz,Linz,Von 1938 bis 1945 Bezeichnung für den heutigen Hauptplatz,https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=925&hist=historisch,Adolf Hitler,Q352,,https://www.wikidata.org/wiki/Q352,Adolf Hitler,male,politician,1889-04-20,1945-04-30,Hauptplatz,M,1938,1945
strasse_historisch_942,942,Aitzetmüllerstraße,Waldegg,Von 1940 bis 1945 nach dem beim nationalsozialistischen Juliputsch 1934 erschossenen Ernst Aitzetmüller; heute Schaunbergerstraße,https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=942&hist=historisch,Ernst Aitzetmüller,,,,,,,,,Schaunbergerstraße,M,1940,1945
strasse_historisch_947,947,Alois-Rohrauer-Straße,Kleinmünchen,"Von 1932 bis 1934 nach dem Begründer der Naturfreundebewegung Alois Rohrauer (1843-1923), heute Lißfeldstraße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=947&hist=historisch,Alois Rohrauer,Q55860053,,https://www.wikidata.org/wiki/Q55860053,Alois Rohrauer,male,,1843-02-28,1923-12-07,Lißfeldstraße,M,1932,1934
strasse_historisch_948,948,Alte Bethlehemgasse,Linz,Von 1825 bis 1869 Bezeichnung für die heutige Bethlehemstraße,https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=948&hist=historisch,,,,,,,,,,Bethlehemstraße,X,1825,1869
strasse_historisch_949,949,Alte Landsgerichtgasse,Linz,Um 1815 Bezeichnung für die heutige Johannesgasse,https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=949&hist=historisch,,,,,,,,,,Johannesgasse,X,um 1815,
strasse_historisch_962,962,Am Damm,Urfahr,Fortsetzung der Verlängerten Kirchengasse zur Linken Brückenstraße. Benannt 1905 nach dem der Donau entlang führenden Damm. Gelöscht 1973 - heute Ferihumerstraße,https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=962&hist=historisch,,,,,,,,,,Ferihumerstraße,X,1905,1973
strasse_historisch_964,964,Am Fleck,Urfahr,"Platz zwischen Ottensheimer Straße und Oberer Donaustraße. Im 16. Jhd. Am Fleck und Unteres Ort, bis zur Umgestaltung des Urfahrer Brückenkopfes 1940 Marktplatz Urfahr, vielfach als Platzl bezeichnet.",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=964&hist=historisch,,,,,,,,,,,X,16. Jhdt.,
strasse_historisch_848,848,Am Gries,Urfahr,Seit dem 16. Jahrhundert Bezeichnung (Gries bedeutet Ufersand) für die heutige Obere Donaustraße und Ottensheimer Straße,https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=848&hist=historisch,,,,,,,,,,,X,16. Jhdt.,
strasse_historisch_851,851,Am Grünen Anger,Urfahr,"Von 1926 bis 1953 Am Grünen Anger nach der gleichnamigen Siedlung, heute Am Grünen Hang",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=851&hist=historisch,,,,,,,,,,Am Grünen Hang,X,1926,1953
strasse_historisch_857,857,Am Ludlsteg,Linz,"Um 1815 wurden die Gegenden Ecke Honauerstraße - Ludlgasse und Holzstraße - Ludlgasse Am Ludlsteg bezeichnet, heute Ludlgasse",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=857&hist=historisch,,,,,,,,,,Ludlgasse,X,um 1815,
strasse_historisch_858,858,Am Oberen Wassertor,Linz,Bis 1869 Bezeichnung für einen Teil der heutigen Oberen Donaulände.,https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=858&hist=historisch,,,,,,,,,,Obere Donaulände,X,,1869
strasse_historisch_859,859,Am Perig (Berg),Linz,"Von 1391 bis 1644 Bezeichnung für das steile Straßenstück zwischen Altstadt und Schloss, heute Teil der Hofgasse",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=859&hist=historisch,,,,,,,,,,Hofgasse,X,1391,1944
strasse_historisch_861,861,Am Salzwinkel,Linz,"Um 1835 Bezeichnung für das Gassl beim Roten Krebsen, heute Teil des Hofberges",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=861&hist=historisch,,,,,,,,,,,X,um 1835,
strasse_historisch_863,863,Am Schloßberg,Linz,"Von 1644 bis 1710 Bezeichnung für das steile Straßenstück zwischen Altstadt und Schloss, heute Teil der Hofgasse",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=863&hist=historisch,,,,,,,,,,Hofgasse,X,1644,1710
strasse_historisch_864,864,Am Schlosswall,Linz,"Bezeichnung bis 1869, heute Teil der Römerstraße",https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=864&hist=historisch,,,,,,,,,,Römerstraße,X,,1869
strasse_historisch_872,872,Am Urfahraner Gewerbehof,Urfahr,siehe Gewerbepark Urfahr,https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=872&hist=historisch,,,,,,,,,,Gewerbepark Urfahr,X,,1988
strasse_historisch_878,878,An dem Markt,Linz,Ab dem 13. Jahrhundert bis etwa 1338 Bezeichnung für den heutigen Hauptplatz,https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=878&hist=historisch,,,,,,,,,,,X,ab 13. Jhdt.,ca. 1338
strasse_historisch_879,879,An den Fleischbänken,Linz,Von ca. 1700 bis 1800 Bezeichnung für die heutige Zollamtstraße,https://stadtgeschichte.linz.at/strassennamen/default.asp?action=strassendetail&ID=879&hist=historisch,,,,,,,,,,Zollamtstraße,X,ca. 1700,ca. 1800
