id,nummer_alt,nummer_neu,aufstellungsort,brunnenart,bauart,epsg31255_x,epsg31255_y,lon,lat,in_betrieb,trinkwasser,wasseranalyse,steuerung,elektrik,pumpe,beleuchtung,wassermenge_sammelbecken,lage_brunnentechnik,lage_wasserzaehler,wasserzaehler_epsg31255_x,wasserzaehler_epsg31255_y,wasserzaehler_lon,wasserzaehler_lat,lage_e_schaltschrank,lage_stromzaehler,bemerkung,betriebszeit,frostschutz_wasserzaehler_ausgebaut
brunnen_bmp01,B01,BmP01,Alter Markt,Zierbrunnen Kein Trinkwasser,Künstlerbrunnen,,,,,,false,false,keine,ja,Grundfos Trockenauf- aufstellung 1 Stück mti Zeitsteuerung,keine,Sammelbecken im Brunnen- schacht ca. 1000 Liter,Schacht bei Brunnen,Schacht bei Brunnen,,,,,Schacht bei Brunnen,Im E-Kasten neben Markthalle,Wasseraufbereitung erfolgt händisch Frischwassernachspeisung über Magnetventil,9:00 bis 21:00,
brunnen_bmp02,B02,BmP02,Tummelplatz,Zierbrunnen Kein Trinkwasser,Wasserbecken,,,,,,false,false,keine,ja,"Oase Trockenaufstellung 1 Stück 67 Lit/min 3,4m mit Zeitsteuerung",keine,Brunnenbecken ca. 500 Liter,Schacht bei Brunnen,Schacht bei Brunnen,,,,,Schacht bei Brunnen,Stromversorgung von Haus Tummelplatz 19,Wasseraufbereitung erfolgt händisch Frischwassernachspeisung ständig über Durchlaufventil,9:00 bis 21:00,
brunnen_bmp03,B03,BmP03,Zollamtstraße,Zierbrunnen Kein Trinkwasser,Steinquader,,,,,,false,false,keine,ja,Unterwasserpumpe mit Zeitsteuerung,keine,Sammelbecken im Brunnen- schacht ca. 1000 Liter,Schacht neben Brunnen,Schacht neben Brunnen,,,,,Schacht neben Brunnen,Privathaus Zollamtstr. 16 (Dolce Vita),Wasseraufbereitung erfolgt händisch Frischwassernachspeisung über Schwimmerventil,9:00 bis 21:00,
brunnen_bmp04,B04,BmP04,Arbeiterkammer,Zierbrunnen Kein Trinkwasser,Steinskultur mit Brunnenbecken,,,,,,false,false,keine,ja,Grundfos Trockenaufstellung 1 Stück mit Zeitsteuerung ??,keine,Brunnenbecken ca. 30000 Liter,Schacht neben Brunnen,Schacht neben Brunnen,,,,,Schacht neben Brunnen,Keller Arbeiterkammer,Wasseraufbereitung erfolgt händisch Frischwassernachspeisung händisch über Durchlaufventil Zeitsteuerung der Pumpe fraglich da E-Schaltschrank versperrt.,9:00 bis 21:00,
brunnen_bmp05,B05,BmP05,Donaupark vor Brucknerhaus (Beyerbrunnen),Zierbrunnen Kein Trinkwasser,18 Metallsäulen in Brunnenbecken mit Quellauslässen an der Oberseite,,,,,,false,false,keine,ja,Vogel Trocken- aufstellung 1 Stück mit Zeitsteuerung,7 Scheinwerfer im Brunnenschacht mit Glasscheiben zum Brunnenbecken mit Zeitsteuerung,Brunnenbecken ca 10000 Liter,Schacht neben Brunnen,2. UG Brucknerhaus,,,,,Schacht neben Brunnen,1. UG Brucknerhaus,Wasseraufbereitung erfolgt händisch Frischwassernachspeisung über Magnetventil 2. UG Brucknerhaus Enthärtungsanlage für Frischwasser - Salzbehälter ca. 100 kg - Salz wird laut GtA vom Brucknerhaus nachgefüllt,9:00 bis 22:00,
brunnen_bmp06,B06,BmP06,Donaupark Hochstrahlbrunnen,Zierbrunnen Kein Trinkwasser,Hochstrahl- brunnen,,,,,,false,false,keine,ja,Vogel Trocken- aufstellung 2 Stück mit Zeitsteuerung und Windsteuerung,Unterwasser- scheinwerfer mit Zeitsteuerung,Brunnenbecken ca 10000 Liter,Schacht neben Brunnen,Schacht ca 50 m westlich vom Brunnen Sämtliche Hydranten im Park mitgezählt Sub Zähler in Brunnenstube,,,,,Schacht neben Brunnen,Überflourkasten ca. 40 m südlich vom Brunnen Zähler Nr. 4439625,Wasseraufbereitung erfolgt händisch Frischwassernachspeisung über Magnetventil Sehr großer Reinigungsaufwand im Brunnenbecken (Müll) und im Herbst durch Laub - Saugrohr ständig verstopft,9:00 bis 22:00,
brunnen_bmp07,B07,BmP07,Schadlergründe bei Fechterweg 10,Zierbrunnen Kein Trinkwasser,Steinskulptur 3 Quellauslässe,,,,,,false,false,keine,ja,Unterwasserpumpe mit Zeitsteuerung,keine,Sammelbecken im Brunnen- schacht und Brunnenbecken ca. 5000 Liter,Schacht neben Brunnen,Schacht neben Brunnen,,,,,Schacht neben Brunnen,1. UG Fechter- weg 10,Wasseraufbereitung erfolgt händisch Frischwassernachspeisung mit Schwimmerventil zur Zeit defekt (läuft ständig) ca. 70 cm Wasserstand im gesamten Brunnenschacht,9:00 bis 21:00,
brunnen_bmp08,B08,BmP08,Volkshaus Keferfeld,Zierbrunnen Kein Trinkwasser,Steinzylinder,,,,,,false,false,keine,ja,Vogel Trockenaufstellung 1 Stück mit Zeitsteuerung,keine,Brunnenbecken ca. 2000 Liter und Sammeltank ca. 1000 Liter,KG Volkshaus im Jugendklub,hinterfragen,,,,,KG Volkshaus im Jugendklub,hinterfragen,Frischwassernachspeisung mit Spülkastensystem Wasseraufbereitung händisch Großer Reinigungsaufwand Brunnenbecken (Müll),10:00 bis 22:00,
brunnen_bmp09,B09,BmP09,Spaunstr 54 neu,Zierbrunnen Kein Trinkwasser,Steinskulptur mit Becken,,,,,,false,false,keine,ja,Oase Trockenaufstellung 1 Stück 10 Lit/min 40m mit Zeitsteuerung,keine,Brunnenbecken ca 2500 Liter,Schacht neben Brunnen,Schacht neben Brunnen,,,,,Schacht neben Brunnen,Überflourschrank ca 15 m südlich vom Brunnen (bei Gehsteig),Frischwassernachspeisung händisch über Ventil Wasseraufbereitung händisch,9:00 bis 19:00,
brunnen_bmp10,B10,BmP10,Spaunstr 80 alt,Zierbrunnen Kein Trinkwasser,Betonschale,,,,,,false,false,keine,ja,Grundfos Trockenaufstellung 1 Stück 8m³/h 10m mit Zeitsteuerung,keine,Brunnenbecken ca 3000 Liter,Schacht neben Brunnen,Schacht neben Brunnen,,,,,Überflourschrank ca 20 m südlich vom Brunnen,Überflourschrank ca 20 m südlich vom Brunnen,Frischwassernachspeisung händisch über Ventil Wasseraufbereitung händisch,9:00 bis 19:00,
