id,nummer,art,name,epsg31255_x,epsg31255_y,lon,lat,barrierefrei,eurokey,oeffnungszeiten,wickeltisch,wintersperre,anmerkung
wc_1,1,mit Personalbesetztung,Hauptplatz ARH,70795,352404,14.28686688,48.30593158,true,true,Mo - Fr 7:00-20:00 Sa 5:30 - 20:00 So 8:30 - 20:00,true,nein,"Benutzungsgebühr € 0,20,--"
wc_2,2,mit Personalbesetztung,"Südbahnhofmarkt an Markttagen Di, Fr, Sa besetzt von 07:00 - 14:00",71843,351867,14.30090102,48.30098535,true,true,Mo - Sa 06:00 - 18:00 So geschlossen,true,nein,"Benutzungsgebühr € 0,20,--"
wc_3,3,ohne Personalbesetztung,Auf der Gugl,70297,351071,14.27993372,48.29400074,false,false,06:00 - 20:00,false,nein,
wc_4,4,ohne Personalbesetztung,Auhof,73270,355619,14.32078150,48.33455931,true,false,durchgehend,false,nein,
wc_5,5,ohne Personalbesetztung,Bergschlösslpark Pförtnergebäude,70715,350789,14.28551930,48.29141867,true,true,durchgehend,false,Nov - März,
wc_6,6,ohne Personalbesetztung,Bindermichl (Stadlerstraße),71243,348329,14.29222089,48.26923977,true,false,05:00 - 22:00,false,nein,
wc_7,7,ohne Personalbesetztung,Donaupark,71355,353108,14.29453322,48.31219915,true,true,07:00 - 20:00,false,nein,durchgehend von Mai - Sept
wc_8,8,ohne Personalbesetztung,Freinberg,69329,351558,14.26696937,48.29848610,true,false,durchgehend,false,nein,
wc_9,9,ohne Personalbesetztung,Grüne Mitte,72376,350907,14.30792033,48.29229275,true,false,06:00 - 20:00,true,Nov - März,
wc_10,10,ohne Personalbesetztung,Grünmarkt Urfahr,70334,353018,14.28075530,48.31150376,true,true,07:00 - 21:00,true,nein,
wc_11,11,ohne Personalbesetztung,Hessenplatz,71387,351797,14.29474377,48.30040731,true,true,06:00 - 21:00,false,nein,
wc_12,12,ohne Personalbesetztung,Hummelhofwald,71253,349018,14.29247118,48.27543404,true,false,05:00 - 21:00,false,nein,
